x,y,z,k
-2.777,-51.694,-9.972,602.2404
-2.777,-51.694,-9.307,602.5481
-2.777,-51.694,-8.643,602.8810
-2.777,-51.694,-7.979,603.2445
-2.777,-51.694,-7.315,603.6976
-2.777,-51.694,-6.651,604.1255
-2.777,-51.694,-5.987,604.5414
-2.777,-51.694,-5.323,604.9823
-2.777,-51.694,-4.659,605.4598
-2.777,-51.694,-3.995,605.9784
-2.777,-51.694,-3.330,606.4986
-2.777,-51.694,-2.666,606.9971
-2.777,-51.694,-2.002,607.4903
-2.777,-51.694,-1.338,607.9889
-2.777,-51.694,-0.674,608.5375
-2.777,-51.694,-0.010,609.0923
-2.777,-51.694,0.654,609.6072
-2.777,-51.694,1.318,610.1484
-2.777,-51.694,1.982,610.7130
-2.777,-51.694,2.647,611.2404
-2.777,-51.694,3.311,611.7634
-2.777,-51.694,3.975,612.2113
-2.777,-51.694,4.639,612.6560
-2.777,-51.694,5.303,613.1622
-2.777,-51.694,5.967,613.6123
-2.777,-51.694,6.631,614.0351
-2.777,-51.694,7.295,614.3787
-2.777,-51.694,7.959,614.7062
-2.777,-51.694,8.624,615.1213
-2.777,-51.694,9.288,615.4765
-2.777,-51.694,9.952,615.7540
-2.777,-51.694,10.616,615.9851
-2.777,-51.694,11.280,616.2221
-2.777,-51.694,11.944,616.3832
-2.777,-51.694,12.608,616.4927
-2.777,-51.694,13.272,616.5907
-2.777,-51.694,13.936,616.7128
-2.777,-51.694,14.600,616.8454
-2.777,-51.694,15.265,616.8992
-2.777,-51.694,15.929,616.8522
-2.777,-51.694,16.593,616.7993
-2.777,-51.694,17.257,616.8211
-2.777,-51.694,17.921,616.8529
-2.777,-51.694,18.585,616.7756
-2.777,-51.694,19.249,616.6817
-2.777,-51.694,19.913,616.5930
-2.777,-51.694,20.577,616.4933
-2.777,-51.694,21.242,616.4676
-2.777,-51.694,21.906,616.3664
-2.777,-51.694,22.570,616.2310
-2.777,-51.694,23.234,616.1260
-2.777,-51.694,23.898,616.0465
-2.777,-51.694,24.562,615.9631
-2.777,-51.694,25.226,615.8576
-2.777,-51.694,25.890,615.7412
-2.777,-51.694,26.554,615.6017
-2.777,-51.694,27.219,615.5288
-2.777,-51.694,27.883,615.4749
-2.777,-51.694,28.547,615.4062
-2.777,-51.694,29.211,615.3707
-2.777,-51.694,29.875,615.3520
-2.777,-51.694,30.539,615.3400
-2.777,-51.694,31.203,615.3271
-2.777,-51.694,31.867,615.3219
-2.777,-51.694,32.531,615.3584
-2.777,-51.694,33.196,615.4136
-2.777,-51.694,33.860,615.4206
-2.777,-50.558,-18.605,599.4015
-2.777,-50.558,-17.941,599.5780
-2.777,-50.558,-17.277,599.8011
-2.777,-50.558,-16.613,600.0016
-2.777,-50.558,-15.949,600.1804
-2.777,-50.558,-15.284,600.3706
-2.777,-50.558,-14.620,600.5882
-2.777,-50.558,-13.956,600.8934
-2.777,-50.558,-13.292,601.1606
-2.777,-50.558,-12.628,601.3934
-2.777,-50.558,-11.964,601.6652
-2.777,-50.558,-11.300,601.9553
-2.777,-50.558,-10.636,602.3285
-2.777,-50.558,-9.972,602.6667
-2.777,-50.558,-9.307,603.0091
-2.777,-50.558,-8.643,603.4228
-2.777,-50.558,-7.979,603.8036
-2.777,-50.558,-7.315,604.2483
-2.777,-50.558,-6.651,604.7100
-2.777,-50.558,-5.987,605.1554
-2.777,-50.558,-5.323,605.6605
