x,y,z,k
-2.797,-48.856,25.654,591.4400
-2.797,-48.856,26.256,591.4259
-2.797,-48.856,26.857,591.4505
-2.797,-48.856,27.459,591.4642
-2.797,-48.856,28.061,591.4557
-2.797,-48.856,28.662,591.4683
-2.797,-48.856,29.264,591.5068
-2.797,-48.856,29.866,591.5436
-2.797,-48.856,30.467,591.5762
-2.797,-47.827,-17.064,592.1423
-2.797,-47.827,-16.462,592.2147
-2.797,-47.827,-15.860,592.3054
-2.797,-47.827,-15.259,592.3701
-2.797,-47.827,-14.657,592.4421
-2.797,-47.827,-14.055,592.5163
-2.797,-47.827,-13.454,592.5792
-2.797,-47.827,-12.852,592.6253
-2.797,-47.827,-12.250,592.6657
-2.797,-47.827,-11.649,592.7004
-2.797,-47.827,-11.047,592.7261
-2.797,-47.827,-10.445,592.7640
-2.797,-47.827,-9.844,592.8020
-2.797,-47.827,-9.242,592.8389
-2.797,-47.827,-8.640,592.8817
-2.797,-47.827,-8.039,592.9161
-2.797,-47.827,-7.437,592.9345
-2.797,-47.827,-6.835,592.9557
-2.797,-47.827,-6.234,592.9700
-2.797,-47.827,-5.632,592.9910
-2.797,-47.827,-5.030,593.0252
-2.797,-47.827,-4.429,593.0508
-2.797,-47.827,-3.827,593.0667
-2.797,-47.827,-3.225,593.0809
-2.797,-47.827,-2.624,593.0953
-2.797,-47.827,-2.022,593.1231
-2.797,-47.827,-1.421,593.1658
-2.797,-47.827,-0.819,593.1634
-2.797,-47.827,-0.217,593.1625
-2.797,-47.827,0.384,593.1829
-2.797,-47.827,0.986,593.2036
-2.797,-47.827,1.588,593.2478
-2.797,-47.827,2.189,593.2672
-2.797,-47.827,2.791,593.2710
-2.797,-47.827,3.393,593.2932
-2.797,-47.827,3.994,593.3232
-2.797,-47.827,4.596,593.3501
-2.797,-47.827,5.198,593.3732
-2.797,-47.827,5.799,593.3857
-2.797,-47.827,6.401,593.3779
-2.797,-47.827,7.003,593.3838
-2.797,-47.827,7.604,593.4182
-2.797,-47.827,8.206,593.4494
-2.797,-47.827,8.808,593.4507
-2.797,-47.827,9.409,593.4315
-2.797,-47.827,10.011,593.4283
-2.797,-47.827,10.613,593.4597
-2.797,-47.827,11.214,593.4775
-2.797,-47.827,11.816,593.4555
-2.797,-47.827,12.418,593.4361
-2.797,-47.827,13.019,593.4213
-2.797,-47.827,13.621,593.4092
-2.797,-47.827,14.223,593.3921
-2.797,-47.827,14.824,593.3575
-2.797,-47.827,15.426,593.3086
-2.797,-47.827,16.028,593.2476
-2.797,-47.827,16.629,593.2060
-2.797,-47.827,17.231,593.1688
-2.797,-47.827,17.833,593.1040
-2.797,-47.827,18.434,593.0486
-2.797,-47.827,19.036,592.9929
-2.797,-47.827,19.637,592.9091
-2.797,-47.827,20.239,592.8330
-2.797,-47.827,20.841,592.7330
-2.797,-47.827,21.442,592.6707
-2.797,-47.827,22.044,592.6155
-2.797,-47.827,22.646,592.5271
-2.797,-47.827,23.247,592.4669
-2.797,-47.827,23.849,592.3685
-2.797,-47.827,24.451,592.2981
-2.797,-47.827,25.052,592.2597
-2.797,-47.827,25.654,592.1619
-2.797,-47.827,26.256,592.0729
-2.797,-47.827,26.857,592.0349
-2.797,-47.827,27.459,592.0090
-2.797,-47.827,28.061,591.9754
-2.797,-47.827,28.662,591.9255
-2.797,-47.827,29.264,591.8836
-2.797,-47.827,29.866,591.8614
-2.797,-47.827,30.467,591.8584
-2.797,-46.799,-17.064,591.4271
-2.797,-46.799,-16.462,591.5381
-2.797,-46.799,-15.860,591.6377
-2.797,-46.799,-15.259,591.7209
-2.797,-46.799,-14.657,591.7892
-2.797,-46.799,-14.055,591.8668
-2.797,-46.799,-13.454,591.9501
-2.797,-46.799,-12.852,591.9911
-2.797,-46.799,-12.250,592.0470
-2.797,-46.799,-11.649,592.1025
-2.797,-46.799,-11.047,592.1376
-2.797,-46.799,-10.445,592.1870
-2.797,-46.799,-9.844,592.2085
-2.797,-46.799,-9.242,592.2451
-2.797,-46.799,-8.640,592.2962
-2.797,-46.799,-8.039,592.3170
-2.797,-46.799,-7.437,592.3326
-2.797,-46.799,-6.835,592.3350
-2.797,-46.799,-6.234,592.3406
-2.797,-46.799,-5.632,592.3581
-2.797,-46.799,-5.030,592.3857
-2.797,-46.799,-4.429,592.4063
-2.797,-46.799,-3.827,592.4195
-2.797,-46.799,-3.225,592.4462
-2.797,-46.799,-2.624,592.4470
-2.797,-46.799,-2.022,592.4612
-2.797,-46.799,-1.421,592.4895
-2.797,-46.799,-0.819,592.4861
-2.797,-46.799,-0.217,592.5122
-2.797,-46.799,0.384,592.5317
-2.797,-46.799,0.986,592.5403
-2.797,-46.799,1.588,592.5817
-2.797,-46.799,2.189,592.6162
-2.797,-46.799,2.791,592.6387
-2.797,-46.799,3.393,592.6567
